Date,Open,High,Low,Close,Adj Close,Volume
2017-08-21,119.180000,121.470001,118.910004,120.440002,112.608452,6414100
2017-08-28,120.680000,125.000000,118.650002,124.239998,116.161346,7248200
2017-09-04,123.919998,123.919998,115.599998,117.449997,109.812874,8437600
2017-09-11,120.050003,124.760002,119.809998,120.919998,113.057213,9332800
2017-09-18,120.949997,121.089996,114.070000,115.290001,107.793312,9554800
2017-09-25,114.570000,119.489998,113.199997,118.540001,111.410545,10150600
2017-10-02,118.379997,125.000000,117.550003,123.389999,115.968842,7358100
2017-10-09,123.360001,128.089996,122.980003,127.769997,120.085419,7663700
2017-10-16,127.580002,127.919998,120.139999,120.709999,113.450027,8820500
2017-10-23,121.000000,125.820000,120.709999,124.209999,116.739532,7360800
2017-10-30,123.669998,125.260002,120.279999,123.180000,115.771484,8568300
2017-11-06,123.639999,133.750000,120.760002,124.220001,116.748924,12208900
2017-11-13,122.889999,124.750000,121.389999,124.400002,116.918098,7026100
2017-11-20,124.400002,125.900002,122.779999,125.209999,117.679375,3403900
2017-11-27,125.449997,127.150002,120.070000,125.230003,117.698189,7339400
2017-12-04,127.000000,127.820000,121.610001,125.230003,117.698189,6839600
2017-12-11,125.379997,126.050003,121.110001,125.089996,117.566597,6570000
2017-12-18,125.370003,129.669998,120.410004,121.059998,113.778976,7044700
2017-12-25,120.800003,121.599998,119.209999,119.279999,112.640091,2738200
2018-01-01,120.169998,124.449997,119.580002,121.230003,114.481544,5912500
2018-01-08,120.989998,127.650002,120.120003,127.529999,120.430840,6051800
2018-01-15,128.380005,130.610001,125.790001,128.970001,121.790672,5868600
2018-01-22,128.880005,135.190002,126.540001,134.979996,127.466118,12067100
2018-01-29,134.550003,135.649994,129.210007,129.660004,122.442276,6849900
2018-02-05,128.889999,130.089996,119.760002,124.470001,117.541168,8857300
2018-02-12,126.510002,132.699997,125.970001,131.679993,124.349815,7540900
2018-02-19,131.000000,133.089996,129.589996,130.199997,122.952202,5313200
2018-02-26,130.960007,131.270004,120.959999,122.629997,115.803604,7739900
2018-03-05,121.620003,126.669998,120.440002,126.620003,119.571487,10028200
2018-03-12,127.239998,127.239998,124.260002,124.750000,118.390915,5684400
2018-03-19,124.839996,126.959999,116.980003,117.040001,111.073929,6765700
2018-03-26,118.540001,121.239998,115.940002,117.739998,111.738235,4273000
2018-04-02,118.000000,118.790001,113.919998,114.830002,108.976570,6186200
2018-04-09,115.889999,117.370003,110.879997,113.739998,107.942146,7588400
2018-04-16,114.760002,119.980003,114.430000,119.089996,113.019432,7907100
2018-04-23,119.550003,120.730003,111.040001,111.820000,106.120018,11050000
2018-04-30,112.239998,112.639999,105.110001,107.360001,101.887360,13060100
2018-05-07,107.449997,107.949997,103.760002,107.059998,101.602654,12073600
2018-05-14,107.000000,108.709999,105.900002,106.959999,101.507744,8803500
2018-05-21,107.970001,110.419998,105.019997,109.800003,104.202988,8089300
2018-05-28,108.800003,109.779999,104.599998,106.330002,100.909866,7127100
2018-06-04,106.339996,107.029999,101.199997,103.480003,98.769646,10486500
2018-06-11,103.599998,115.550003,103.550003,114.510002,109.297562,15668400
2018-06-18,113.129997,114.870003,109.550003,111.550003,106.472305,11608400
2018-06-25,109.120003,109.349998,102.919998,103.599998,98.884178,11430700
2018-07-02,103.050003,105.260002,102.639999,104.739998,99.972282,7164300
2018-07-09,106.129997,110.540001,105.629997,107.870003,102.959816,8479800
2018-07-16,108.470001,114.370003,107.519997,110.559998,105.527359,7323000
2018-07-23,110.680000,112.669998,108.389999,111.769997,106.682297,5983300
2018-07-30,111.830002,116.620003,104.239998,112.419998,107.302704,12599100
2018-08-06,111.910004,115.459999,110.410004,113.639999,108.467178,8870000
2018-08-13,113.459999,116.839996,113.059998,115.720001,110.452499,6572100
2018-08-20,116.180000,120.309998,115.820000,119.709999,114.260872,6569400
2018-08-27,120.400002,124.629997,118.589996,122.580002,117.000229,7373000
2018-09-03,122.239998,124.540001,119.970001,124.360001,118.699196,6261400
2018-09-10,125.000000,129.940002,121.760002,129.289993,123.404778,8448900
2018-09-17,128.830002,133.600006,127.239998,131.470001,125.485550,9216500
2018-09-24,131.289993,131.309998,123.250000,129.940002,124.690262,10785000
2018-10-01,130.330002,131.479996,122.870003,123.669998,118.673576,7543200
2018-10-08,123.660004,124.940002,115.860001,119.050003,114.240234,7196600
2018-10-15,118.860001,120.279999,117.750000,117.779999,113.021545,1517500
